"id","name","type","typeLabel","country","city","lat","lng","originPrecision","firstSeen","scope","tags","knownFor","attribution","sourceLabel"
"andariel","Andariel, Silent Chollima, PLUTONIUM, Onyx Sleet","state-linked-theft","State-linked Theft","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2009","Global","bank theft; crypto theft; subgroup","Conducting destructive and espionage-linked intrusions while also carrying out financially motivated attacks against ATMs, banks, and cryptocurrency organizations.","MITRE ATT&CK tracks Andariel as a North Korean state-sponsored subgroup of Lazarus that has also conducted cyber financial operations.","MITRE ATT&CK, updated Sep 2024"
"anonymous","Anonymous, Anons","hacktivist","Hacktivist","No fixed origin","Decentralized","","","No fixed origin / decentralized collective","2003","Global","decentralized; hacktivism; leaderless collective","Coordinating high-profile hacktivist actions, website disruptions, leaks, and symbolic cyber campaigns against governments, companies, and institutions around the world.","Public reporting consistently describes Anonymous as a decentralized international hacktivist collective with no fixed hierarchy or stable geographic origin.","Harvard Cybersecurity Wiki / Britannica"
"antisec","AntiSec, Operation AntiSec","hacktivist","Hacktivist","No fixed origin","Decentralized","","","No fixed origin / decentralized collective","2011","Global","decentralized; hacktivism; movement","Coordinating anti-security and anti-surveillance themed hacking campaigns, leaks, and defacements under a broader Anonymous- and LulzSec-linked banner.","Public reporting and the movement’s own statements describe AntiSec as a loose collaborative operation associated with Anonymous and LulzSec rather than a single geographically rooted organization.","Wired / public reporting"
"apcert","APCERT, Asia Pacific Computer Emergency Response Team","white-hat","White Hat","Japan","Tokyo","35.6762","139.6503","City-level attribution from public reporting","2003","Regional","regional coordination; Asia Pacific; CSIRT network","Connecting incident response teams across the Asia Pacific region to improve coordination, information sharing, and joint preparedness for regional cyber incidents.","APCERT describes itself as a regional network of computer emergency response teams, and its official structure page identifies JPCERT/CC in Tokyo as the secretariat used here as the map origin point.","APCERT official site"
"applejeus","AppleJeus","crypto-crime","Crypto Crime","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2018","Global","trojanized apps; crypto theft; fake trading software","Posing as legitimate cryptocurrency tools and trading platforms to infect victims and facilitate theft tied to North Korean cyber operations.","CISA, FBI, and Treasury describe AppleJeus as North Korean malicious cyber activity used to facilitate cryptocurrency theft; the atlas maps that activity to North Korea at country level.","CISA / FBI / Treasury, Feb 2021"
"apt-c-36","APT-C-36, Blind Eagle","state-linked-theft","State-linked Theft","Colombia","Bogota","4.711","-74.0721","Country-level attribution pinned to capital","2018","Regional","South America; espionage; phishing","Running espionage-oriented campaigns that primarily target Colombian government institutions and key private-sector organizations in finance, energy, and manufacturing.","MITRE ATT&CK tracks APT-C-36 as a suspected South America espionage group focused mainly on Colombian institutions; the atlas uses Colombia as the clearest regional origin inference and pins to Bogota.","MITRE ATT&CK, updated Apr 2025"
"apt28","APT28, Fancy Bear, Sofacy, Forest Blizzard, STRONTIUM","state-linked-theft","State-linked Theft","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2004","Global","GRU-linked; espionage; influence ops","Running one of the most recognizable Russian military cyber programs, including espionage, credential theft, and influence-linked intrusion activity.","MITRE ATT&CK tracks APT28 as a Russian state-sponsored group commonly linked to the GRU; the map uses a country-level Russia attribution pinned to Moscow.","MITRE ATT&CK, updated Apr 2025"
"apt29","APT29, Cozy Bear, Midnight Blizzard, The Dukes","state-linked-theft","State-linked Theft","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2008","Global","espionage; supply chain","Conducting long-running espionage campaigns against governments, diplomatic targets, and major enterprises, including some of the most widely reported supply-chain intrusions.","MITRE ATT&CK identifies APT29 as a Russian state-sponsored espionage group; the map uses Russia at country level and pins to Moscow for readability.","MITRE ATT&CK, updated Apr 2025"
"apt38","APT38, Bluenoroff, BeagleBoyz, Sapphire Sleet","state-linked-theft","State-linked Theft","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2014","Global","bank heists; SWIFT theft","Specializing in financial cyber operations against banks, casinos, exchanges, and ATM/SWIFT infrastructure worldwide.","MITRE ATT&CK attributes APT38 to North Korea and describes it as a group focused on financial theft.","MITRE ATT&CK, updated Jan 2025"
"apt41","APT41, Wicked Panda, Brass Typhoon, BARIUM","hybrid","Hybrid","China","Beijing","39.9042","116.4074","Country-level attribution pinned to capital","2012","Global","espionage + profit; supply chain","Mixing state-sponsored espionage with financially motivated intrusions, including targeting software supply chains and commercial sectors.","MITRE ATT&CK assesses APT41 as a Chinese state-sponsored group that also conducts financially motivated operations.","MITRE ATT&CK, updated Jun 2025"
